inv_br;naziv;stopa;amgrp;amgrp_naz;datum_nabave;aktivirano;kto_nabave;kto otpisa;duguje;potrazuje;saldo;amortizacija_za_razdoblje
11;NOSAČ-STALAK ZA STOLARIJU;20;1004;Namještaj(uredski,pogonski);1997-10-15;1997-11-01;03220;03922;17300.00;17300.00;0.00;0.00
12;RADIONA;5;1001;Građevinski objekti visokograd;1996-03-01;1996-03-01;02310;03910;22252.23;21734.32;517.91;1112.64
31;POLUAUTOMATSKA 2GLAVA;10;1008;Ostala oprema;1997-10-15;1997-11-01;03010;03901;28000.00;28000.00;0.00;0.00
42;STALAŽA IVERICA;20;1004;Namještaj(uredski,pogonski);1997-10-15;1997-11-01;03220;03922;1136.08;1136.08;0.00;0.00
69;CANON LBP-660;50;1003;Elekt. Računala, oprema i mobi;1998-09-21;1998-10-01;03110;03902;1847.84;1847.84;0.00;0.00
70;RAČUNALO PII-366;50;1003;Elekt. Računala, oprema i mobi;1999-09-06;1999-10-01;03110;03902;5373.00;5373.00;0.00;0.00
74;GRA\EVINSKI OBJEKT-HALA;5;1001;Građevinski objekti visokograd;1999-04-26;1999-05-01;02310;03910;675720.43;570718.04;105002.39;33786.00
78;FABER X A60 CM5;10;1008;Ostala oprema;1999-12-11;2000-01-01;03010;03901;4356.00;4356.00;0.00;0.00
79;DVOSTRUKA AUTOMATSKA;10;1008;Ostala oprema;1997-12-31;1999-05-01;03010;03901;190398.08;190398.08;0.00;0.00
80;IZLOŽBENI ŠTAND;10;1008;Ostala oprema;1999-04-30;1999-05-01;03220;03922;23134.44;23134.44;0.00;0.00
84;PILA ZA LAJSNE STAKLA;10;1008;Ostala oprema;1997-12-31;1999-05-01;03010;03901;35223.87;35223.87;0.00;0.00
85;KOMPRESOR 2656Lt/min;10;1008;Ostala oprema;1997-12-31;1999-05-01;03010;03901;20583.52;20583.52;0.00;0.00
86;DVOGLAVA VARILICA KC-272;10;1008;Ostala oprema;1997-12-31;1999-05-01;03010;03901;113870.56;113870.56;0.00;0.00
87;JEDNOGLAVA VARILICA KB412;10;1008;Ostala oprema;1997-12-31;1999-05-01;03010;03901;55705.76;55705.76;0.00;0.00
88;AUTOMATSKA BUŠILICA;10;1008;Ostala oprema;1997-12-31;1999-05-01;03010;03901;45414.93;45414.93;0.00;0.00
89;AUTOMATSKA GLODALICA ZA;10;1008;Ostala oprema;1997-12-31;1999-05-01;03010;03901;31868.85;31868.85;0.00;0.00
90;GLODALICA S DVOSTRUKIM;10;1008;Ostala oprema;1997-12-31;1999-05-01;03010;03901;37651.10;37651.10;0.00;0.00
91;KOPIRNA GLODALICA FU 440;10;1008;Ostala oprema;1997-12-31;1999-05-01;03010;03901;25358.06;25358.06;0.00;0.00
92;ČISTAČ UGLOVA CA 266;10;1008;Ostala oprema;1997-12-31;1999-05-01;03010;03901;97438.72;97438.72;0.00;0.00
93;STROJ ZA SAVIJANJE;10;1008;Ostala oprema;1997-12-31;1999-05-01;03010;03901;363145.34;363145.34;0.00;0.00
94;STROJ ZA UVRTANJE VIJAKA;10;1008;Ostala oprema;1997-12-31;1999-05-01;03010;03901;45806.23;45806.23;0.00;0.00
95;STROJ ZA SKIDANJE VARA;10;1008;Ostala oprema;1997-12-31;1999-05-01;03010;03901;75607.16;75607.16;0.00;0.00
96;BRUSILICA DUPLA PSM 150;10;1008;Ostala oprema;1998-01-22;1999-01-01;03010;03901;269.68;269.68;0.00;0.00
97;KOLICA;20;1004;Namještaj(uredski,pogonski);1998-02-02;1999-05-01;03220;03922;2355.05;2355.05;0.00;0.00
98;RADIANT tip RHL 23;10;1008;Ostala oprema;1998-02-10;1999-05-01;03020;03905;31056.00;31056.00;0.00;0.00
99;AUTOMATSKI DODAVAČ VIJAKA;10;1008;Ostala oprema;1998-02-12;1999-05-01;03010;03901;18220.51;18220.51;0.00;0.00
100;PRILAZ HALI - ASFALT;5;1002;Građevinski objekti niskogradn;2000-09-16;2000-10-01;02360;03960;39565.26;37594.79;1970.47;1978.32
101;RAČUNALO PII 433A CELERON;50;1003;Elekt. Računala, oprema i mobi;2000-03-22;2000-04-01;03110;03902;6217.79;6217.79;0.00;0.00
102;CENTRALNO GRIJANJE;50;1010;Softveri;2000-02-01;2000-02-01;03020;03905;43094.03;43094.03;0.00;0.00
103;PILA STIL E 160;10;1008;Ostala oprema;2000-02-24;2000-03-01;03230;03904;1800.00;1800.00;0.00;0.00
104;PISAČ LASERSKI HP 1100;50;1003;Elekt. Računala, oprema i mobi;2000-05-13;2000-06-01;03110;03902;3100.82;3100.82;0.00;0.00
105;MREŽA;50;1003;Elekt. Računala, oprema i mobi;2000-04-30;2000-05-01;03110;03902;5349.00;5349.00;0.00;0.00
106;BRUSILICA BIJAKS 710W;10;1008;Ostala oprema;2000-04-11;2000-05-01;03230;03904;2750.00;2750.00;0.00;0.00
109;RAČUNALO OFFICE PII433A;50;1003;Elekt. Računala, oprema i mobi;2000-12-08;2001-01-01;03110;03902;7131.48;7131.48;0.00;0.00
126;STROJ ZA ČIŠĆENJE VARA;10;1008;Ostala oprema;2000-04-19;2000-11-01;03010;03901;167919.15;167919.15;0.00;0.00
127;VISOKOTLAČNI ČISTAČ K721;10;1008;Ostala oprema;2002-03-23;2002-04-01;03010;03901;2290.00;2290.00;0.00;0.00
128;PREŠA;10;1008;Ostala oprema;2001-03-01;2001-03-01;03010;03901;12231.56;12231.56;0.00;0.00
142;KANCELARIJA;5;1001;Građevinski objekti visokograd;1999-04-26;1999-05-01;02300;03900;446398.79;373733.58;72665.21;22320.00
143;ALAT ZA BUŠENJE POLUOLIVA;10;1008;Ostala oprema;2001-02-13;2001-03-01;03230;03904;1264.00;1264.00;0.00;0.00
144;INOX KADA ZA VODU kom 2;10;1008;Ostala oprema;2001-02-19;2001-03-01;03010;03901;4000.00;4000.00;0.00;0.00
145;STROJ ZA BUŠENJE KONDENZA;10;1008;Ostala oprema;2001-02-19;2001-03-01;03010;03901;2149.28;2149.28;0.00;0.00
146;PNEUMATIK POWERDYNE KOMPL;10;1008;Ostala oprema;2000-12-31;2001-01-01;03010;03901;3500.00;3500.00;0.00;0.00
147;RUČNA PILA KUTNA ELEKTRA;10;1008;Ostala oprema;2000-12-31;2001-01-01;03230;03904;2900.00;2900.00;0.00;0.00
149;GLODALICA MORINE&BOSSI;10;1008;Ostala oprema;2000-12-31;2001-01-01;03010;03901;14800.00;14800.00;0.00;0.00
150;PREŠA ZA STAKLO;10;1008;Ostala oprema;2000-12-31;2001-01-01;03010;03901;50000.00;50000.00;0.00;0.00
151;LAMPA ZA GRIJANJE GUME KP;10;1008;Ostala oprema;2000-12-31;2001-01-01;03010;03901;18000.00;18000.00;0.00;0.00
152;CIRKULAR ELEKTRA BECKUM;10;1008;Ostala oprema;2000-12-31;2001-01-01;03010;03901;4500.00;4500.00;0.00;0.00
153;PILA ZA ČELIK CAMA AVIANO;10;1008;Ostala oprema;2000-12-31;2001-01-01;03010;03901;7500.00;7500.00;0.00;0.00
154;KOLICA ZA REZANE PROFILE;20;1004;Namještaj(uredski,pogonski);2000-12-31;2001-01-01;03220;03922;15300.00;15300.00;0.00;0.00
155;KOLICA ZA OTPADNE PROFILE;20;1004;Namještaj(uredski,pogonski);2000-12-31;2001-02-01;03220;03922;10200.00;10200.00;0.00;0.00
156;KOLICA ZA GOTOVE PROIZVOD;20;1004;Namještaj(uredski,pogonski);2000-12-31;2001-01-01;03220;03922;15200.00;15200.00;0.00;0.00
158;KOLICA ZA STAKLO 9 KOM;20;1004;Namještaj(uredski,pogonski);2000-12-31;2001-03-01;03220;03922;45900.00;45900.00;0.00;0.00
159;KOLICA ZA ISTOVAR STAKLA;20;1004;Namještaj(uredski,pogonski);2000-12-31;2001-03-01;03220;03922;12800.00;12800.00;0.00;0.00
160;POLICA ČELIK 5 PREČKI;20;1004;Namještaj(uredski,pogonski);2001-12-31;2001-01-01;03220;03922;6700.00;6700.00;0.00;0.00
161;ŠKARE PNEUMATIKE ZA OKOV;10;1008;Ostala oprema;2000-12-31;2001-01-01;03010;03901;9800.00;9800.00;0.00;0.00
162;STAKLARSKI STOL;20;1004;Namještaj(uredski,pogonski);2000-12-31;2001-03-01;03220;03922;19972.05;19972.05;0.00;0.00
185;SEPARATOR ULJNI ART 1014;10;1008;Ostala oprema;2001-01-12;2001-02-01;03020;03905;3432.80;3432.80;0.00;0.00
186;PILA KRUŽNA STOLNA 230V;10;1008;Ostala oprema;2001-02-12;2001-03-01;03010;03901;1474.59;1474.59;0.00;0.00
187;KRUŽNA PILA AGS 135;10;1008;Ostala oprema;2001-02-05;2001-03-01;03010;03901;8373.13;8373.13;0.00;0.00
188;PERAČ AINHEL EHR130 FREZ;10;1008;Ostala oprema;2004-03-28;2001-04-01;03020;03905;1923.77;1923.77;0.00;0.00
190;FOTOKOPIRNI APARAT;50;1003;Elekt. Računala, oprema i mobi;2001-05-30;2001-06-01;03110;03902;5988.12;5988.12;0.00;0.00
195;OGRADA;5;1002;Građevinski objekti niskogradn;2001-06-21;2001-07-01;02350;03950;76207.65;54886.22;21321.43;3810.36
201;ORMAR DRVO V.77;20;1004;Namještaj(uredski,pogonski);2001-05-05;2001-06-01;03210;03911;1245.90;1245.90;0.00;0.00
204;PREŠA SWIGGLE COMOLET;10;1008;Ostala oprema;2000-06-09;2001-03-01;03010;03901;88915.79;88915.79;0.00;0.00
205;PROSTOR ZA SAVIJANJE;5;1001;Građevinski objekti visokograd;2001-01-01;2001-03-01;02310;03910;191055.35;142017.22;49038.13;9552.72
206;PROSTORIJA STAKLANE;5;1001;Građevinski objekti visokograd;2001-01-01;2001-03-01;02310;03910;104328.67;77550.48;26778.19;5216.40
207;PROSTOR METALNE OBRADE;5;1001;Građevinski objekti visokograd;2001-01-01;2001-03-01;02310;03910;72351.90;53781.90;18570.00;3617.64
208;SKLADIŠTE OTVORENO;5;1001;Građevinski objekti visokograd;2001-01-01;2001-03-01;02310;03910;43195.05;32108.20;11086.85;2159.76
209; NADSTREŠNICA 1.;5;1001;Građevinski objekti visokograd;2001-01-01;2001-03-01;02310;03910;30236.53;22476.50;7760.03;1511.88
210;IZLOŠCI;10;1008;Ostala oprema;2001-01-01;2001-06-30;03220;03922;34510.55;34510.55;0.00;0.00
211;STOL ZA KOMPJUTER;20;1004;Namještaj(uredski,pogonski);2001-02-01;2001-03-01;03210;03911;2306.00;2306.00;0.00;0.00
212;STOL PISAČI;20;1004;Namještaj(uredski,pogonski);2001-02-01;2001-03-01;03210;03911;3722.00;3722.00;0.00;0.00
213;STOL L80;20;1004;Namještaj(uredski,pogonski);2001-02-01;2001-03-01;03210;03911;1574.00;1574.00;0.00;0.00
214;STOL KONFERENCIJSKI;20;1004;Namještaj(uredski,pogonski);2001-02-01;2001-03-01;03210;03911;2870.00;2870.00;0.00;0.00
215;LADIČAR /4 3 KOM;20;1004;Namještaj(uredski,pogonski);2001-02-01;2001-03-01;03210;03911;3060.00;3060.00;0.00;0.00
216;ORMAR-POLICE H 199;20;1004;Namještaj(uredski,pogonski);2001-02-01;2001-03-01;03210;03911;1350.00;1350.00;0.00;0.00
217;ORMAR VRATA PUNA C372;20;1004;Namještaj(uredski,pogonski);2001-02-01;2001-03-01;03210;03911;2088.00;2088.00;0.00;0.00
218;ORMAR -POLICE C304;20;1004;Namještaj(uredski,pogonski);2001-02-01;2001-03-01;03210;03911;800.00;800.00;0.00;0.00
219;ORMAR POLICA C502 2KOM;20;1004;Namještaj(uredski,pogonski);2001-02-01;2001-03-01;03210;03911;3016.00;3016.00;0.00;0.00
220;ŠIBER ORMAR C308;20;1004;Namještaj(uredski,pogonski);2001-02-01;2001-03-01;03210;03911;2670.00;2670.00;0.00;0.00
221;ORMAR USKI C319 2KOM;20;1004;Namještaj(uredski,pogonski);2001-02-01;2001-03-01;03210;03911;3022.00;3022.00;0.00;0.00
222;ORMAR NISKI C 320;20;1004;Namještaj(uredski,pogonski);2001-02-01;2001-03-01;03210;03911;973.00;973.00;0.00;0.00
223;ORMAR STAKLO C373 2 KOM;20;1004;Namještaj(uredski,pogonski);2001-02-01;2001-03-01;03210;03911;4192.00;4192.00;0.00;0.00
224;ORMAR POLICA C501;20;1004;Namještaj(uredski,pogonski);2001-02-01;2001-03-01;03210;03911;1085.00;1085.00;0.00;0.00
225;ORMAR STAKLO C343;20;1004;Namještaj(uredski,pogonski);2001-02-01;2001-03-01;03210;03911;1283.00;1283.00;0.00;0.00
228;SUŠAČ D 1600;10;1008;Ostala oprema;2001-11-07;2001-12-01;03010;03901;7232.00;7232.00;0.00;0.00
231;PROČISTAČ I OMEKŠIVAČ VOD;10;1008;Ostala oprema;2002-02-26;2002-03-01;03230;03904;7360.00;7360.00;0.00;0.00
232;KLIMA AKAI 3,5W 3kom;10;1008;Ostala oprema;2002-07-11;2002-08-01;03030;03906;9237.00;9237.00;0.00;0.00
235;GERICOM PRIJ.RAČ.WEBGINE.;50;1003;Elekt. Računala, oprema i mobi;2002-10-16;2002-11-01;03110;03902;10990.00;10990.00;0.00;0.00
236;RAČUNALO OFFICE STANDARD;50;1003;Elekt. Računala, oprema i mobi;2002-10-18;2002-11-01;03110;03902;7254.10;7254.10;0.00;0.00
238;PREŠA ZA PVC ISPUNE 2 KOM;10;1008;Ostala oprema;2002-05-31;2002-06-01;03010;03901;208277.93;208277.93;0.00;0.00
239;LJEPILICA ZA PVC ISPUNE;10;1008;Ostala oprema;2002-05-31;2002-06-01;03010;03901;33470.71;33470.71;0.00;0.00
240;STOL S DISKOVIMA ZA PVC;10;1008;Ostala oprema;2002-05-31;2002-06-01;03010;03901;29970.01;29970.01;0.00;0.00
241;VILIČAR STILL;25;1007;Vozila teretna i kombi vozila;2003-03-27;2003-03-01;03203;03903;57450.00;57450.00;0.00;0.00
242;VILIČAR SPARTAK - PTF 250;25;1007;Vozila teretna i kombi vozila;2003-05-22;2003-06-01;03203;03903;999.00;999.00;0.00;0.00
243;INTEL PENTIUM 4;50;1003;Elekt. Računala, oprema i mobi;2003-06-02;2003-07-01;03110;03902;10313.36;10313.36;0.00;0.00
245;SKELA 7M AXIAL;10;1008;Ostala oprema;2003-09-27;2003-10-01;03220;03922;6638.61;6638.61;0.00;0.00
246;PC Pentium 4;50;1003;Elekt. Računala, oprema i mobi;2003-12-03;2004-01-01;03110;03902;5839.43;5839.43;0.00;0.00
247;PUMPA ZA SILIKON MONO 25;10;1008;Ostala oprema;2003-12-03;2004-01-01;03010;03901;30295.00;30295.00;0.00;0.00
248;PRILAZ HALI PANETA;5;1002;Građevinski objekti niskogradn;2003-05-31;2003-06-01;02360;03960;135361.54;83205.73;52155.81;6768.12
249;MONITOR HANSOL 17 H750;50;1003;Elekt. Računala, oprema i mobi;2003-06-04;2003-07-01;03110;03902;2406.56;2406.56;0.00;0.00
250;CANOM LASER TELEFAKS APAR;50;1003;Elekt. Računala, oprema i mobi;2003-07-29;2003-08-01;03110;03902;2490.00;2490.00;0.00;0.00
251;PLINSKA INFRA GRIJALICA;10;1008;Ostala oprema;2003-12-10;2004-01-01;03020;03905;5332.00;5332.00;0.00;0.00
253;ROTACIONI STOL ZA KITANJE;10;1008;Ostala oprema;2004-02-06;2004-03-01;03010;03901;15300.00;15300.00;0.00;0.00
256;AUTRONIC 1025 B;50;1003;Elekt. Računala, oprema i mobi;2004-11-09;2004-12-01;03110;03902;3901.73;3901.73;0.00;0.00
257;PRINTER OKI C3100;50;1003;Elekt. Računala, oprema i mobi;2004-12-11;2004-12-11;03110;03902;2999.00;2999.00;0.00;0.00
259;STROJ ZA VARENJE-ČIŠĆENJE;10;1008;Ostala oprema;2004-12-20;2005-07-01;03010;03901;986459.03;986459.03;0.00;33001.25
261;VAKUMIRKA ZA PANELE;10;1008;Ostala oprema;2004-01-01;2004-01-01;03010;03901;651632.64;651632.64;0.00;456.96
262;PREŠA MALA ZA PANELE;10;1008;Ostala oprema;2004-01-01;2004-01-01;03010;03901;91757.92;91757.92;0.00;3816.52
263;PROIZVODNI PROSTOR 187,5M;5;1001;Građevinski objekti visokograd;2004-01-01;2004-01-01;02310;03910;501828.40;316151.64;185676.76;25091.40
264;PERILICA H-1000;10;1008;Ostala oprema;2004-01-01;2004-01-01;03010;03901;146232.85;146232.85;0.00;0.00
265;ALAT TOPLINE;10;1008;Ostala oprema;2004-01-01;2004-01-01;03010;03901;26442.53;26442.53;0.00;0.00
266;KALUP DORA;10;1008;Ostala oprema;2004-01-01;2004-01-01;03270;03970;28700.50;28700.50;0.00;0.00
267;KALUP ZORA ZA IZRADU PANE;10;1008;Ostala oprema;2004-01-01;2004-01-01;03270;03970;26253.79;26253.79;0.00;0.00
268;KALUP GEROVIT ZA IZRADU P;10;1008;Ostala oprema;2004-01-01;2004-01-01;03270;03970;27324.23;27324.23;0.00;0.00
269;KALUP KOLEDA ZA IZRADU PA;10;1008;Ostala oprema;2004-01-01;2004-01-01;03270;03970;30841.39;30841.39;0.00;0.00
270;KALUP LADA ZA IZRADU PANE;10;1008;Ostala oprema;2004-01-01;2004-01-01;03270;03970;30841.39;30841.39;0.00;0.00
271;KALUP LAVOGLAV ZA IZRADU;10;1008;Ostala oprema;2004-01-01;2004-01-01;03270;03970;28012.37;28012.37;0.00;0.00
272;KAMERA SONY DCR PC 330;10;1008;Ostala oprema;2004-01-21;2004-02-01;03100;03908;9639.34;9639.34;0.00;0.00
273;PC INTEL P4 CPUP4800-28P;50;1003;Elekt. Računala, oprema i mobi;2004-04-21;2004-05-01;03110;03902;13098.04;13098.04;0.00;0.00
275;UREDSKI NAMJEŠTAJ TREŠNJA;20;1004;Namještaj(uredski,pogonski);2004-05-31;2004-06-01;03210;03911;5750.80;5750.80;0.00;0.00
276;PC CELERON 2,4 256 40;50;1003;Elekt. Računala, oprema i mobi;2004-07-06;2004-08-01;03110;03902;4331.14;4331.14;0.00;0.00
277;GILERA NEXUS 500;20;1005;Osobna vozila;2004-06-16;2004-07-01;03200;03920;40975.41;40975.41;0.00;0.00
279;UREDSKI NAMJEŠTAI SIVO;20;1004;Namještaj(uredski,pogonski);2004-06-03;2004-07-01;03210;03911;16807.20;16807.20;0.00;0.00
282;KALUP NEVA ZA IZRADZ PANE;10;1008;Ostala oprema;2004-01-01;2004-01-01;03270;03970;19907.61;19907.61;0.00;0.00
283;KALUP STRIBOR ZA IZRADU P;10;1008;Ostala oprema;2004-01-01;2004-01-01;03270;03970;29082.81;29082.81;0.00;0.00
284;KALUP STRIJELJKA ZA IZRAD;10;1008;Ostala oprema;2004-01-01;2004-01-01;03270;03970;27706.53;27706.53;0.00;0.00
285;KALUP VIDA ZA IZRADU PANE;10;1008;Ostala oprema;2004-01-01;2004-01-01;03270;03970;23042.47;23042.47;0.00;0.00
286;KALUP VESNA ZA IZRADU PAN;10;1008;Ostala oprema;2004-01-01;2004-01-01;03270;03970;27706.53;27706.53;0.00;0.00
287;KALUP SVANTEVID ZA IZRAD;10;1008;Ostala oprema;2004-01-01;2004-01-01;03270;03970;28700.51;28700.51;0.00;0.00
288;KALUP KOLEDA BOČNI ZA IZR;10;1008;Ostala oprema;2004-01-01;2004-01-01;03270;03970;30841.32;30841.32;0.00;0.00
289;KALUP DORA BOČNI ZA IZRAD;10;1008;Ostala oprema;2004-01-01;2004-01-01;03270;03970;20519.29;20519.29;0.00;0.00
290;KALUP SVANTEVID BOČNI;10;1008;Ostala oprema;2004-01-01;2004-01-01;03270;03970;20519.29;20519.29;0.00;0.00
291;KALUP UNI BOČNI ZA IZRADU;10;1008;Ostala oprema;2004-01-01;2004-01-01;03270;03970;20672.21;20672.21;0.00;0.00
292;REGAL PRIMA BUKVA;20;1004;Namještaj(uredski,pogonski);2004-08-10;2004-09-01;03210;03911;1017.05;1017.05;0.00;0.00
293;KLIMA UREĐAJ GREE KFR;10;1008;Ostala oprema;2004-08-14;2004-09-01;03030;03906;3073.77;3073.77;0.00;0.00
294;FAZ 2800 CENTAR ZA OKIVAN;10;1008;Ostala oprema;2004-12-31;2005-07-01;03010;03901;178024.66;176547.18;1477.48;17802.48
295;GLS 192 PILA ZA GLAS LAJS;50;1010;Softveri;2004-12-31;2005-07-01;03010;03901;57772.34;57772.34;0.00;0.00
296;AMS 200 MJERNI UREĐAJ;10;1008;Ostala oprema;2004-12-31;2005-07-01;03010;03901;89576.89;88833.18;743.71;8957.64
297;VE 3000 UREĐAJ ZA KONTROL;10;1008;Ostala oprema;2004-12-31;2005-07-01;03010;03901;59379.97;58886.94;493.03;5937.96
298;MMS 200 MJERNI SUSTAV 3,M;10;1008;Ostala oprema;2004-12-31;2005-07-01;03010;03901;25562.37;25350.18;212.19;2556.24
299;MMS 200 MJERNI SUSTAV 4,5;10;1008;Ostala oprema;2004-12-31;2005-07-01;03010;03901;31138.28;30880.14;258.14;3113.88
300;AF 221 GLODALICA ZA KVAKE;10;1008;Ostala oprema;2004-12-31;2005-07-01;03010;03901;31363.29;31102.92;260.37;3136.32
304;ZGRADA IZRADE PANELA;5;1001;Građevinski objekti visokograd;2004-01-01;2004-02-01;02310;03910;975948.75;644125.68;331823.07;48797.40
305;KLAES PROGRAM;50;1010;Softveri;2005-05-31;2005-06-01;01200;01930;246063.26;246063.26;0.00;0.00
306;KRUŽNA PILA;10;1008;Ostala oprema;2005-04-12;2005-05-01;03010;03901;6547.00;6547.00;0.00;545.20
307;STROJNI UVIJAČ;10;1008;Ostala oprema;2005-05-24;2005-06-01;03010;03901;5718.24;5718.24;0.00;547.84
308;VODILICA ZA SAVIJANJE PRO;10;1008;Ostala oprema;2005-06-21;2005-07-01;03010;03901;22578.11;22390.86;187.25;2257.80
309;PERILICA ZA STAKLO;10;1008;Ostala oprema;2005-04-23;2005-09-01;03010;03901;82500.00;79752.72;2747.28;8250.00
310;VARTIKALNA GLODALICA;10;1008;Ostala oprema;2005-09-19;2005-10-01;03010;03901;3165.00;3020.52;144.48;316.56
311;RAČUNALO 2 KOM;50;1003;Elekt. Računala, oprema i mobi;2005-03-22;2005-04-01;03110;03902;8932.12;8932.12;0.00;0.00
312;MONITOR LCD;50;1003;Elekt. Računala, oprema i mobi;2005-09-03;2005-10-01;03110;03902;2859.00;2859.00;0.00;0.00
313;RAČUNALO;50;1003;Elekt. Računala, oprema i mobi;2005-11-14;2005-12-01;03110;03902;3733.27;3733.27;0.00;0.00
314;RAČUNALO M51 P2 TEHNIKCEN;50;1003;Elekt. Računala, oprema i mobi;2005-12-14;2006-01-01;03110;03902;10180.00;10180.00;0.00;0.00
315;USISAVAČ ZA PILJEVINU;10;1008;Ostala oprema;2005-05-16;2005-06-01;03230;03904;3194.26;3194.26;0.00;0.00
316;RUČNI POMETAČ;10;1008;Ostala oprema;2005-07-13;2005-08-01;03230;03904;2813.11;2813.11;0.00;0.00
317;BLANJALICA;10;1008;Ostala oprema;2005-09-03;2005-10-01;03230;03904;5146.72;5146.72;0.00;0.00
319;RENAULT MASTER 3;25;1007;Vozila teretna i kombi vozila;2005-07-29;2005-08-01;03203;03903;0.00;0.00;0.00;0.00
320;STROJ ZA REZANJE PVC-A;10;1008;Ostala oprema;2005-01-27;2005-07-01;03010;03901;338005.72;335200.02;2805.70;33800.52
321;STROJ ZA REZANJE ŽELJEZA;10;1008;Ostala oprema;2005-01-27;2005-07-01;03010;03901;68027.96;67463.34;564.62;6802.80
323;KOLICA ZA PROIZ.POGON;20;1004;Namještaj(uredski,pogonski);2005-07-04;2005-08-01;03010;03901;57573.98;57573.98;0.00;0.00
325;HLADNJAK;10;1008;Ostala oprema;2005-05-16;2005-06-01;03100;03908;13441.80;13441.80;0.00;0.00
326;SERVER;10;1008;Ostala oprema;2005-07-04;2005-08-01;03120;03912;82465.68;82465.68;0.00;0.00
327;PODSTOLNA PILA;10;1008;Ostala oprema;2005-07-18;2005-08-01;03230;03904;22000.00;22000.00;0.00;0.00
328;PRILAZNI PUT HALI II;5;1002;Građevinski objekti niskogradn;2005-12-31;2006-01-01;02360;03960;165959.37;94049.52;71909.85;8298.00
329;OGRADA ZGB;5;1002;Građevinski objekti niskogradn;2005-03-31;2005-04-01;02350;03950;11241.60;6792.12;4449.48;562.08
330;HALA III;5;1001;Građevinski objekti visokograd;2005-06-30;2005-07-01;02310;03910;3082925.00;1741852.56;1341072.44;154146.24
331;HIDRATANTSKA MREŽA;10;1008;Ostala oprema;2005-12-31;2006-01-01;03020;03905;240401.46;240401.46;0.00;0.00
332;MONTAŽNA ZGRADA ZGB;5;1001;Građevinski objekti visokograd;2005-03-31;2005-04-01;02300;03900;32996.32;22271.97;10724.35;1649.76
333;AUTOMATSKA KOPIRKA ELUMAT;10;1008;Ostala oprema;2006-06-01;2006-07-01;03010;03901;272655.36;272655.36;0.00;9643.95
334;KRUŽNA PILA CAMA;10;1008;Ostala oprema;2006-07-20;2006-08-01;03010;03901;6115.00;6115.00;0.00;292.82
336;LAPTOP THINKPAD Z60M 2.0G;50;1003;Elekt. Računala, oprema i mobi;2006-02-16;2006-03-01;03110;03902;11449.50;11449.50;0.00;0.00
337;"MONITOR L171 17""LCD BLACK";50;1003;Elekt. Računala, oprema i mobi;2006-03-24;2006-04-01;03110;03902;3726.74;3726.74;0.00;0.00
338;THINKCENTRE A51 - PN VKL7;50;1003;Elekt. Računala, oprema i mobi;2006-03-24;2006-04-01;03110;03902;3474.90;3474.90;0.00;0.00
339;LENOVO TC A52 3.00G 2MB;50;1003;Elekt. Računala, oprema i mobi;2006-03-24;2006-04-01;03110;03902;5828.90;5828.90;0.00;0.00
341;KOPIRKA CANON IR-2016;50;1003;Elekt. Računala, oprema i mobi;2006-05-02;2006-06-01;03110;03902;11484.88;11484.88;0.00;0.00
342;PC IBM TNINKCENTRE2 KOM;50;1003;Elekt. Računala, oprema i mobi;2006-05-20;2006-06-01;03110;03902;8343.43;8343.43;0.00;0.00
345;THINCENTRE A52 2.8H 512MB;50;1003;Elekt. Računala, oprema i mobi;2006-09-01;2006-10-01;03110;03902;7778.20;7778.20;0.00;0.00
346;PRINTER FAX SCENNER LASER;50;1003;Elekt. Računala, oprema i mobi;2006-09-26;2006-10-01;03110;03902;2374.59;2374.59;0.00;0.00
347;LASERBASE MF-5770 PRINTER;50;1003;Elekt. Računala, oprema i mobi;2006-10-27;2006-11-01;03110;03902;2663.51;2663.51;0.00;0.00
